Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Agra,Potato,Desi,FAQ,1380,1550,1450,31-Dec-19
2,Agra,Agra,Potato,Desi,FAQ,1300,1450,1380,30-Dec-19
3,Agra,Agra,Potato,Desi,FAQ,1400,1550,1480,28-Dec-19
4,Agra,Agra,Potato,Desi,FAQ,1350,1550,1450,27-Dec-19
5,Agra,Agra,Potato,Desi,FAQ,1350,1550,1440,26-Dec-19
6,Agra,Agra,Potato,Desi,FAQ,1380,1520,1450,24-Dec-19
7,Agra,Agra,Potato,Desi,FAQ,1400,1550,1480,23-Dec-19
8,Agra,Agra,Potato,Desi,FAQ,1400,1600,1500,21-Dec-19
9,Agra,Agra,Potato,Desi,FAQ,1400,1600,1500,20-Dec-19
10,Agra,Agra,Potato,Desi,FAQ,1480,1620,1550,19-Dec-19
11,Agra,Agra,Potato,Desi,FAQ,1400,1600,1500,18-Dec-19
12,Agra,Agra,Potato,Desi,FAQ,1400,1550,1480,17-Dec-19
13,Agra,Agra,Potato,Desi,FAQ,1350,1550,1440,16-Dec-19
14,Agra,Agra,Potato,Desi,FAQ,1150,1380,1235,14-Dec-19
15,Agra,Agra,Potato,Desi,FAQ,950,1100,1025,13-Dec-19
16,Agra,Agra,Potato,Desi,FAQ,950,1100,1020,12-Dec-19
17,Agra,Agra,Potato,Desi,FAQ,950,1100,1030,11-Dec-19
18,Agra,Agra,Potato,Desi,FAQ,930,1080,1020,10-Dec-19
19,Agra,Agra,Potato,Desi,FAQ,950,1080,1010,09-Dec-19
20,Agra,Agra,Potato,Desi,FAQ,800,950,880,07-Dec-19
21,Agra,Agra,Potato,Desi,FAQ,800,950,870,06-Dec-19
22,Agra,Agra,Potato,Desi,FAQ,800,950,880,05-Dec-19
23,Agra,Agra,Potato,Desi,FAQ,750,900,830,04-Dec-19
24,Agra,Agra,Potato,Desi,FAQ,750,950,840,03-Dec-19
25,Agra,Agra,Potato,Desi,FAQ,780,920,845,02-Dec-19
26,Agra,Agra,Potato,Desi,FAQ,800,950,845,30-Nov-19
27,Agra,Agra,Potato,Desi,FAQ,750,950,840,29-Nov-19
28,Agra,Agra,Potato,Desi,FAQ,750,950,850,28-Nov-19
29,Agra,Agra,Potato,Desi,FAQ,750,900,825,27-Nov-19
30,Agra,Agra,Potato,Desi,FAQ,750,900,830,26-Nov-19
31,Agra,Agra,Potato,Desi,FAQ,750,900,835,25-Nov-19
32,Agra,Agra,Potato,Desi,FAQ,750,900,830,23-Nov-19
33,Agra,Agra,Potato,Desi,FAQ,750,930,850,22-Nov-19
34,Agra,Agra,Potato,Desi,FAQ,780,930,850,21-Nov-19
35,Agra,Agra,Potato,Desi,FAQ,780,950,860,20-Nov-19
36,Agra,Agra,Potato,Desi,FAQ,800,950,880,19-Nov-19
