Year,Month,Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Total
2019,Jan,1,65,52.8,40,50,44.5,40,100,77.5,47,5,1.5,0,0,0,0,0
2019,Jan,2,67,56.5,44,50,47.5,44,100,75.8,48,6,2.3,0,0,0,0,0
2019,Jan,3,65,54.3,44,52,48,44,100,81.5,62,7,3.3,0,0,0,0,0
2019,Jan,4,67,55.8,44,47,44,42,100,71.3,40,5,2.5,1,0,0,0,0
2019,Jan,5,67,58.3,51,52,49,44,100,75.8,50,8,3.5,1,0,0,0,0
2019,Jan,6,63,57.8,52,53,52,51,98,82.5,67,12,7.8,3,0,0,0,0
2019,Jan,7,64,56,48,53,50.5,48,100,84,62,8,5.8,5,0,0,0,0
2019,Jan,8,64,55.3,46,51,48.5,46,100,80.3,60,7,3.5,2,0,0,0,0
2019,Jan,9,64,54.5,45,48,46.5,45,100,78,56,10,4.8,2,0,0,0,0
2019,Jan,10,65,58.3,47,47,45.7,45,100,66.7,48,7,3.7,2,0,0,0,0
2019,Jan,11,67,55.3,42,49,44.8,42,100,73.3,39,5,1.8,0,0,0,0,0
2019,Jan,12,66,59,47,49,48,47,100,70,55,2,1.7,1,0,0,0,0
2019,Jan,13,64,56,48,52,50,48,100,82,64,2,1.5,1,0,0,0,0
2019,Jan,14,65,58,49,49,40.7,33,100,59,36,12,8,5,0,0,0,0
2019,Jan,15,62,52,40,45,39.8,36,85,66.5,44,10,4,1,0,0,0,0
2019,Jan,16,65,53,39,44,40.3,38,100,70,39,6,2,0,0,0,0,0
2019,Jan,17,65,53.8,40,49,45.3,40,100,77,50,3,1.3,0,0,0,0,0
2019,Jan,18,65,58,44,49,46.7,44,100,69.3,52,6,3,0,0,0,0,0
2019,Jan,19,70,57.8,43,54,49.5,43,100,77.8,54,5,1.8,0,0,0,0,0
2019,Jan,20,74,62,48,55,51.5,48,100,73.5,42,5,1.5,0,0,0,0,0
2019,Jan,21,72,62.5,54,61,53.3,49,95,75.3,44,16,8.8,2,0,0,0,0
2019,Jan,22,66,62.5,59,60,58.5,58,97,88.3,76,5,2.8,1,0,0,0,0
2019,Jan,23,66,59.5,55,62,58,55,100,95.3,81,8,4.5,1,0,0,0,0
2019,Jan,24,64,57.7,54,64,57.7,54,100,100,100,5,3,2,0,0,0,0
2019,Jan,25,62,56.8,52,57,54.3,52,100,91.5,78,12,7.3,2,0,0,0,0
2019,Jan,26,62,52.7,47,49,46.3,43,100,83.3,50,8,6,5,0,0,0,0
2019,Jan,27,61,51.3,39,46,43.5,39,100,78,53,9,4.5,1,0,0,0,0
2019,Jan,28,61,52.3,41,47,43.5,41,100,76.5,52,12,6,1,0,0,0,0
2019,Jan,29,62,52.5,40,46,42,40,100,73.3,45,6,4,0,0,0,0,0
2019,Jan,30,64,53.5,40,46,41.8,39,100,70.8,39,7,3.3,2,0,0,0,0
2019,Jan,31,67,59.8,52,50,47.5,46,88,67,47,8,5.3,3,0,0,0,0
2019,Feb,1,69,64.3,57,53,52,51,84,65.7,55,7,6.7,6,0,0,0,0
2019,Feb,2,60,54.7,51,60,54.7,51,100,100,100,7,5.3,3,0,0,0,0
2019,Feb,3,62,52.7,47,59,51.7,47,100,96.7,90,6,5.3,5,0,0,0,0
2019,Feb,4,66,55.3,47,54,51.3,47,100,88.3,65,3,2.7,2,0,0,0,0
2019,Feb,5,69,62.8,55,62,58.5,55,100,87.5,71,8,4,1,0,0,0,0
2019,Feb,6,71,66.3,60,68,64.3,60,100,94,82,6,5,3,0,0,0,0
2019,Feb,7,69,65.3,61,69,65.3,61,100,100,100,15,11.3,7,0,0,0,0
2019,Feb,8,69,62.3,52,52,44.3,40,100,58.7,37,7,6.3,5,0,0,0,0
2019,Feb,9,65,56.5,47,50,46.3,42,100,73.5,42,12,7,5,0,0,0,0
2019,Feb,10,65,59.7,49,51,49,47,100,70,51,7,3.7,1,0,0,0,0
2019,Feb,11,66,61.7,53,55,52.3,49,100,73.7,54,2,2,2,0,0,0,0
2019,Feb,12,71,66.3,58,58,54.7,51,100,69.3,49,6,3,1,0,0,0,0
2019,Feb,13,72,66.7,56,59,57.7,56,100,74.7,61,3,2,1,0,0,0,0
2019,Feb,14,69,65.5,62,67,63.8,62,100,94.5,82,15,8.3,3,0,0,0,0
2019,Feb,15,70,67,61,66,63,61,100,87.3,75,7,4.7,2,0,0,0,0
2019,Feb,16,66,60.3,55,60,58,55,100,92.3,79,14,8.3,3,0,0,0,0
2019,Feb,17,70,60,47,60,54.5,47,100,83.8,64,9,6.5,2,0,0,0,0
2019,Feb,18,76,68.7,59,59,56,53,100,67.7,45,7,5,2,0,0,0,0
2019,Feb,19,78,73.3,65,60,54.7,51,86,56,40,7,4.7,2,0,0,0,0
2019,Feb,20,73,69.3,65,70,67.7,65,100,95,85,12,7,3,0,0,0,0
2019,Feb,21,81,76.3,68,68,65.7,64,100,71.7,55,9,7.3,6,0,0,0,0
2019,Feb,22,75,74.5,74,68,60.5,53,79,63,47,16,14,12,0,0,0,0
2019,Feb,23,71,65,57,53,48.7,45,87,59,39,13,9.3,7,0,0,0,0
2019,Feb,24,73,61.5,51,55,53.3,51,100,78.5,48,7,3.8,1,0,0,0,0
2019,Feb,25,74,69.3,61,61,55.3,51,100,65.3,44,5,3.7,3,0,0,0,0
2019,Feb,26,66,60.3,52,63,57.3,52,100,90.5,71,7,5.3,2,0,0,0,0
2019,Feb,27,64,58.7,56,63,58.3,56,100,99,97,17,10.7,3,0,0,0,0
2019,Feb,28,69,62.3,51,51,48,44,100,64,39,6,2.7,1,0,0,0,0
2019,Mar,1,72,65.7,56,56,46.7,37,100,58,28,6,5.7,5,0,0,0,0
2019,Mar,2,65,62.3,59,59,58.3,57,100,87.7,75,6,5.7,5,0,0,0,0
2019,Mar,3,73,66.7,57,62,59.3,57,100,78.7,60,12,8.3,5,0,0,0,0
2019,Mar,4,75,63.3,54,69,59.8,54,100,90.5,62,6,3,1,0,0,0,0
2019,Mar,5,74,74,74,44,44,44,34,34,34,9,9,9,0,0,0,0
2019,Mar,6,76,69.7,58,58,48.7,41,100,55,29,8,7,5,0,0,0,0
2019,Mar,7,78,66.3,49,61,50.5,44,100,66.5,30,3,2,1,0,0,0,0
2019,Mar,8,79,68,52,60,50.8,41,100,63,26,5,2.8,1,0,0,0,0
2019,Mar,9,81,70.5,57,57,39.5,0,100,49.5,0,9,6.3,2,0,0,0,0
2019,Mar,10,80,69,58,61,51.3,40,100,64.5,24,8,4,2,0,0,0,0
2019,Mar,11,84,76,68,51,49.5,48,48,40,32,8,7,6,0,0,0,0
2019,Mar,12,79,73,67,64,56,48,89,61.5,34,6,5.5,5,0,0,0,0
2019,Mar,13,71,70.5,70,54,51,48,54,49.5,45,7,6.5,6,0,0,0,0
2019,Mar,14,74,74,74,55,55,55,52,52,52,18,18,18,0,0,0,0
2019,Mar,15,63,63,63,58,58,58,83,83,83,6,6,6,0,0,0,0
2019,Mar,16,77,65.5,54,54,45,36,100,61.5,23,8,5,2,0,0,0,0
2019,Mar,17,65,65,65,56,56,56,75,75,75,5,5,5,0,0,0,0
2019,Mar,18,83,74.5,66,60,53.5,47,80,54.5,29,8,5.5,3,0,0,0,0
2019,Mar,24,60,60,60,56,56,56,89,89,89,2,2,2,0,0,0,0
2019,Mar,26,71,66,61,61,58.5,56,100,80,60,7,6,5,0,0,0,0
2019,Mar,27,72,72,72,59,59,59,63,63,63,3,3,3,0,0,0,0
2019,Mar,30,101,101,101,45,45,45,15,15,15,1,1,1,0,0,0,0
2019,Apr,10,73,73,73,64,64,64,74,74,74,0,0,0,0,0,0,0
2019,Apr,12,86,86,86,56,56,56,36,36,36,10,10,10,0,0,0,0
2019,Apr,16,77,77,77,62,62,62,61,61,61,12,12,12,0,0,0,0
2019,Apr,19,89,83.5,78,65,58,51,63,45.5,28,8,7.5,7,0,0,0,0
2019,Apr,20,67,67,67,67,67,67,100,100,100,0,0,0,0,0,0,0
2019,Apr,22,89,89,89,59,59,59,36,36,36,2,2,2,0,0,0,0
2019,Apr,24,81,81,81,63,63,63,54,54,54,3,3,3,0,0,0,0
2019,Apr,26,104,90,76,66,56,46,71,42.5,14,8,5.5,3,0,0,0,0
2019,Apr,27,75,75,75,59,59,59,58,58,58,1,1,1,0,0,0,0
2019,Apr,28,74,74,74,53,53,53,48,48,48,1,1,1,0,0,0,0
2019,Apr,29,75,75,75,55,55,55,49,49,49,0,0,0,0,0,0,0
2019,Apr,30,108,92,75,58,48.7,37,56,29.7,9,6,4.3,2,0,0,0,0
2019,May,3,92,92,92,51,51,51,25,25,25,14,14,14,0,0,0,0
2019,May,5,77,77,77,38,38,38,24,24,24,6,6,6,0,0,0,0
2019,May,6,74,74,74,40,40,40,29,29,29,2,2,2,0,0,0,0
2019,May,7,92,92,92,49,49,49,23,23,23,7,7,7,0,0,0,0
2019,May,8,96,96,96,43,43,43,17,17,17,9,9,9,0,0,0,0
2019,May,9,94,87,80,50,48.5,47,36,28,20,7,4.5,2,0,0,0,0
2019,May,10,92,88,84,46,43.5,41,22,21,20,6,5.5,5,0,0,0,0
2019,May,13,89,89,89,58,58,58,35,35,35,18,18,18,0,0,0,0
2019,May,14,79,79,79,60,60,60,51,51,51,2,2,2,0,0,0,0
2019,May,15,89,89,89,72,72,72,57,57,57,7,7,7,0,0,0,0
2019,May,18,73,73,73,66,66,66,78,78,78,1,1,1,0,0,0,0
2019,May,19,101,87.7,74,64,55.3,41,71,41.3,13,9,6,1,0,0,0,0
2019,May,20,73,73,73,55,55,55,54,54,54,1,1,1,0,0,0,0
2019,May,21,79,79,79,59,59,59,51,51,51,1,1,1,0,0,0,0
2019,May,22,82,82,82,63,63,63,52,52,52,3,3,3,0,0,0,0
2019,May,23,83,83,83,71,71,71,68,68,68,0,0,0,0,0,0,0
2019,May,24,88,88,88,69,69,69,54,54,54,6,6,6,0,0,0,0
2019,May,25,79,79,79,67,67,67,67,67,67,6,6,6,0,0,0,0
2019,May,26,92,84,76,61,59,57,60,45.5,31,5,3.5,2,0,0,0,0
2019,May,27,79,79,79,58,58,58,48,48,48,2,2,2,0,0,0,0
2019,May,28,109,94.7,78,59,47,35,52,26.3,8,12,5.3,1,0,0,0,0
2019,May,29,76,76,76,53,53,53,44,44,44,1,1,1,0,0,0,0
