Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmedabad,Dholka,Paddy(Dhan)(Common),Other,FAQ,1400,1760,1750,21-Oct-19
2,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1755,1750,25-Jun-19
3,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1760,1750,22-Jun-19
4,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1300,1755,1750,19-Jun-19
5,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1300,1770,1750,17-Jun-19
6,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1250,1755,1750,14-Jun-19
7,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,12-Jun-19
8,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,11-Jun-19
9,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1250,1755,1750,10-Jun-19
10,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1250,1760,1750,07-Jun-19
11,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,06-Jun-19
12,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1200,1755,1750,04-Jun-19
13,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1250,1755,1750,03-Jun-19
14,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1350,1760,1755,31-May-19
15,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1760,1750,30-May-19
16,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1755,1750,29-May-19
17,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1770,1750,28-May-19
18,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1755,1750,27-May-19
19,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1760,1750,24-May-19
20,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1770,1750,22-May-19
21,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1300,1760,1750,21-May-19
22,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1760,1750,20-May-19
23,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1650,1800,1760,18-May-19
24,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1400,1910,1750,17-May-19
25,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,15-May-19
26,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1765,1750,14-May-19
27,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,13-May-19
28,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1300,1760,1750,10-May-19
29,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1450,1760,1750,09-May-19
30,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,08-May-19
31,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1450,1770,1750,07-May-19
32,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1600,1760,1750,30-Apr-19
33,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1650,1955,1800,29-Apr-19
34,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1810,1750,19-Mar-19
35,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1800,1800,1800,11-Mar-19
36,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1750,1750,1750,06-Mar-19
37,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1820,1750,02-Mar-19
38,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1830,1750,01-Mar-19
39,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1800,1800,1800,28-Feb-19
40,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1825,1750,27-Feb-19
41,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1770,1750,26-Feb-19
42,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,25-Feb-19
43,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1840,1750,23-Feb-19
44,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1825,1750,22-Feb-19
45,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1825,1750,20-Feb-19
46,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1760,1750,18-Feb-19
47,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1810,1750,16-Feb-19
48,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1810,1750,15-Feb-19
49,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1820,1750,14-Feb-19
50,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1800,1750,13-Feb-19
51,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1825,1750,12-Feb-19
52,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1750,1825,1800,11-Feb-19
53,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1810,1750,09-Feb-19
54,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1770,1750,07-Feb-19
55,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1775,1750,06-Feb-19
56,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1775,1750,05-Feb-19
57,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1765,1750,04-Feb-19
58,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1800,1750,31-Jan-19
59,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1700,1775,1750,30-Jan-19
60,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1500,1800,1750,28-Jan-19
61,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1830,1750,25-Jan-19
62,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1820,1760,23-Jan-19
63,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1820,1750,22-Jan-19
64,Ahmedabad,Dholka(Koth),Paddy(Dhan)(Common),Other,FAQ,1550,1840,1750,21-Jan-19
