Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,31-Dec-19
2,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,2000,1500,30-Dec-19
3,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,29-Dec-19
4,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,2000,1500,28-Dec-19
5,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,27-Dec-19
6,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,26-Dec-19
7,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,25-Dec-19
8,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,24-Dec-19
9,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,23-Dec-19
10,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,2000,1500,22-Dec-19
11,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,21-Dec-19
12,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,20-Dec-19
13,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,19-Dec-19
14,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,17-Dec-19
15,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,16-Dec-19
16,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,15-Dec-19
17,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,14-Dec-19
18,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,13-Dec-19
19,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,12-Dec-19
20,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,11-Dec-19
21,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,1000,1500,1200,10-Dec-19
