Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1600,1800,1800,31-Dec-19
2,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1600,2000,1800,27-Dec-19
3,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,1800,26-Dec-19
4,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,1800,25-Dec-19
5,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,2000,24-Dec-19
6,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,1800,23-Dec-19
7,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,1800,22-Dec-19
8,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,1800,21-Dec-19
9,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,1800,20-Dec-19
10,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,1800,2000,2000,19-Dec-19
11,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2000,2200,2200,18-Dec-19
12,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2000,2200,2000,17-Dec-19
13,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2000,2200,2000,16-Dec-19
14,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2000,2200,2200,15-Dec-19
15,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2000,2200,2000,14-Dec-19
16,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2000,2200,2200,13-Dec-19
17,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2400,2800,2600,12-Dec-19
18,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2600,2800,2800,11-Dec-19
19,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2800,3000,3000,10-Dec-19
20,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2200,2600,2400,09-Dec-19
21,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,2600,2800,2600,08-Dec-19
