Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2185,2210,2200,30-Dec-19
2,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1785,1810,1800,30-Dec-19
3,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2185,2210,2200,26-Dec-19
4,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1785,1810,1800,26-Dec-19
5,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2185,2210,2200,24-Dec-19
6,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1785,1810,1800,24-Dec-19
7,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2185,2210,2200,23-Dec-19
8,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1785,1810,1800,23-Dec-19
9,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2180,2210,2200,20-Dec-19
10,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1580,1610,1600,20-Dec-19
11,Jalpaiguri,Alipurduar,Potato,Red,FAQ,1975,2025,2000,19-Dec-19
12,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,19-Dec-19
13,Jalpaiguri,Alipurduar,Potato,Red,FAQ,1975,2025,2000,18-Dec-19
14,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,18-Dec-19
15,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2190,2220,2200,17-Dec-19
16,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,17-Dec-19
17,Jalpaiguri,Alipurduar,Potato,Red,FAQ,2190,2220,2200,16-Dec-19
18,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,16-Dec-19
19,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,15-Dec-19
20,Jalpaiguri,Alipurduar,Potato,Other,FAQ,2190,2220,2200,15-Dec-19
21,Jalpaiguri,Alipurduar,Potato,Red,FAQ,1950,2050,2000,14-Dec-19
22,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,14-Dec-19
23,Jalpaiguri,Alipurduar,Potato,Red,FAQ,1950,2050,2000,13-Dec-19
24,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,13-Dec-19
25,Jalpaiguri,Alipurduar,Potato,Red,FAQ,1775,1820,1800,12-Dec-19
26,Jalpaiguri,Alipurduar,Potato,Jyoti,FAQ,1480,1520,1500,12-Dec-19
