Year,Month,Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Total
2019,Jan,1,75,63,50,52,50.4,46,88,65.4,41,10,3.7,0,30.1,30,30,0
2019,Jan,2,79,64.5,52,55,51.8,50,94,66.1,36,9,2.7,0,30.1,30,29.9,0
2019,Jan,3,77,63.4,52,54,50.1,46,94,66.3,36,8,2.1,0,30.1,30.1,30,0
2019,Jan,4,75,62.2,52,54,48.5,45,94,64.4,34,12,3.5,0,30.1,30.1,30,0
2019,Jan,5,77,62.8,50,54,50.8,46,94,67,41,12,4.7,0,30.1,30,29.9,0
2019,Jan,6,79,65.4,54,55,51.8,50,88,64.4,36,9,3.4,0,30,29.9,29.9,0
2019,Jan,7,81,66.3,52,55,53,50,94,65.4,36,12,3.1,0,30,29.9,29.9,0
2019,Jan,8,77,65.7,55,55,53.5,52,94,66.4,41,9,3.4,0,29.9,29.9,29.8,0
2019,Jan,9,75,64.5,55,55,53.2,50,88,68.5,41,9,2.5,0,30,29.9,29.9,0
2019,Jan,10,75,63.5,52,54,51.9,50,94,68.2,44,9,2.9,0,30,30,29.9,0
2019,Jan,11,75,62.1,52,52,49.1,46,94,66.5,36,10,4,0,30.1,30,29.9,0
2019,Jan,12,77,64.1,54,55,53,50,88,69.4,39,100,5.8,0,30.1,30,29.9,0
2019,Jan,13,79,65.8,52,55,53.3,50,94,66.5,39,9,3.1,0,30.1,29.9,29.9,0
2019,Jan,14,79,66.8,55,57,55.2,54,94,69.1,42,6,1.8,0,30,29.9,29.9,0
2019,Jan,15,75,63.2,50,54,49,45,88,62.7,36,12,5,0,30.1,30,29.9,0
2019,Jan,16,75,61.8,50,48,45.5,43,88,58.7,31,12,3.6,0,30.1,30,29.9,0
2019,Jan,17,77,63.4,52,54,49.9,45,88,64.4,34,7,2.2,0,30,29.9,29.9,0
2019,Jan,18,79,65.3,54,55,53,50,94,66.8,39,8,2.1,0,30,29.9,29.9,0
