Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Bhiwapur,Orange,Other,FAQ,4000,9000,6200,11-Dec-19
2,Nagpur,Bhiwapur,Orange,Other,FAQ,4000,8050,6425,02-Dec-19
3,Nagpur,Bhiwapur,Orange,Other,FAQ,3000,7000,5000,22-Nov-19
4,Nagpur,Bhiwapur,Orange,Other,FAQ,3000,6000,4500,15-Nov-19
5,Nagpur,Bhiwapur,Orange,Other,FAQ,3000,60006,4500,08-Nov-19
6,Nagpur,Kamthi,Orange,Other,FAQ,2000,3000,2800,13-Dec-19
7,Nagpur,Kamthi,Orange,Other,FAQ,2000,3500,3000,10-Dec-19
8,Nagpur,Kamthi,Orange,Other,FAQ,2000,3500,3000,27-Nov-19
9,Nagpur,Kamthi,Orange,Other,FAQ,2500,3000,2800,02-Apr-19
10,Nagpur,Kamthi,Orange,Other,FAQ,1000,1600,1500,27-Feb-19
11,Nagpur,Kamthi,Orange,Other,FAQ,1000,1600,1400,22-Feb-19
12,Nagpur,Kamthi,Orange,Other,FAQ,1000,1500,1400,18-Feb-19
13,Nagpur,Kamthi,Orange,Other,FAQ,600,1400,1100,08-Feb-19
14,Nagpur,Kamthi,Orange,Other,FAQ,1000,1400,1300,05-Feb-19
15,Nagpur,Kamthi,Orange,Other,FAQ,1000,1600,1500,29-Jan-19
16,Nagpur,Nagpur,Orange,Other,FAQ,900,3100,2550,30-Dec-19
17,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,28-Dec-19
18,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,26-Dec-19
19,Nagpur,Nagpur,Orange,Other,FAQ,900,3200,2625,24-Dec-19
20,Nagpur,Nagpur,Orange,Other,FAQ,900,3000,2475,23-Dec-19
21,Nagpur,Nagpur,Orange,Other,FAQ,800,3000,2450,20-Dec-19
22,Nagpur,Nagpur,Orange,Other,FAQ,800,2800,2225,19-Dec-19
23,Nagpur,Nagpur,Orange,Other,FAQ,800,2900,2375,18-Dec-19
24,Nagpur,Nagpur,Orange,Other,FAQ,800,3400,2750,17-Dec-19
25,Nagpur,Nagpur,Orange,Other,FAQ,800,3000,2450,16-Dec-19
26,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,13-Dec-19
27,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,12-Dec-19
28,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,11-Dec-19
29,Nagpur,Nagpur,Orange,Other,FAQ,800,3000,2450,10-Dec-19
30,Nagpur,Nagpur,Orange,Other,FAQ,800,3000,2450,09-Dec-19
31,Nagpur,Nagpur,Orange,Other,FAQ,800,3200,2600,07-Dec-19
32,Nagpur,Nagpur,Orange,Other,FAQ,1000,3100,2575,05-Dec-19
33,Nagpur,Nagpur,Orange,Other,FAQ,1000,3100,2575,04-Dec-19
34,Nagpur,Nagpur,Orange,Other,FAQ,1000,3500,2875,03-Dec-19
35,Nagpur,Nagpur,Orange,Other,FAQ,1000,3100,2575,02-Dec-19
36,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,30-Nov-19
37,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,28-Nov-19
38,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,27-Nov-19
39,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,26-Nov-19
40,Nagpur,Nagpur,Orange,Other,FAQ,1815,2112,2037,25-Nov-19
41,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,23-Nov-19
42,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,22-Nov-19
43,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,21-Nov-19
44,Nagpur,Nagpur,Orange,Other,FAQ,900,3000,2475,20-Nov-19
45,Nagpur,Nagpur,Orange,Other,FAQ,1000,3200,2650,19-Nov-19
46,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,16-Nov-19
47,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,15-Nov-19
48,Nagpur,Nagpur,Orange,Other,FAQ,1000,3200,2650,14-Nov-19
49,Nagpur,Nagpur,Orange,Other,FAQ,800,2800,2300,09-Nov-19
50,Nagpur,Nagpur,Orange,Other,FAQ,1000,3400,2800,08-Nov-19
51,Nagpur,Nagpur,Orange,Other,FAQ,1200,3200,2700,07-Nov-19
52,Nagpur,Nagpur,Orange,Other,FAQ,1000,3000,2500,06-Nov-19
53,Nagpur,Nagpur,Orange,Other,FAQ,800,3000,2450,04-Nov-19
54,Nagpur,Nagpur,Orange,Other,FAQ,800,3100,2525,02-Nov-19
