Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500,14000,7500,16-Dec-19
2,Ahmednagar,Ahmednagar,Onion,Red,FAQ,3000,12500,9500,14-Dec-19
3,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500,10000,5500,12-Dec-19
4,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500,10000,6500,09-Dec-19
5,Ahmednagar,Ahmednagar,Onion,Other,FAQ,4000,10000,8000,09-Dec-19
6,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1000,15000,8500,07-Dec-19
7,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1000,14000,10000,07-Dec-19
8,Ahmednagar,Ahmednagar,Onion,Red,FAQ,2000,13500,8000,05-Dec-19
9,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1000,15000,10000,05-Dec-19
10,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1000,10000,6000,02-Dec-19
11,Ahmednagar,Ahmednagar,Onion,Other,FAQ,2000,10000,8000,02-Dec-19
12,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1500,6500,5000,28-Nov-19
13,Ahmednagar,Ahmednagar,Onion,Other,FAQ,3500,8000,6500,28-Nov-19
14,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1500,5500,4500,25-Nov-19
15,Ahmednagar,Ahmednagar,Onion,Other,FAQ,3500,9000,7500,25-Nov-19
16,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1500,6500,5000,23-Nov-19
17,Ahmednagar,Ahmednagar,Onion,Other,FAQ,3000,9000,7500,23-Nov-19
18,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500,5500,4600,21-Nov-19
19,Ahmednagar,Ahmednagar,Onion,Other,FAQ,3000,7300,6000,21-Nov-19
20,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1000,4200,3100,18-Nov-19
21,Ahmednagar,Ahmednagar,Onion,Other,FAQ,2500,6200,4500,18-Nov-19
22,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1500,3500,2500,09-Nov-19
23,Ahmednagar,Ahmednagar,Onion,Other,FAQ,2000,6500,5500,09-Nov-19
24,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1500,5800,3700,04-Nov-19
25,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1500,6000,4500,01-Nov-19
26,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1500,4900,4000,31-Oct-19
27,Ahmednagar,Ahmednagar,Onion,Other,FAQ,2000,3500,2800,10-Oct-19
28,Ahmednagar,Ahmednagar,Onion,Other,FAQ,2000,3500,2800,05-Oct-19
29,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1300,3200,2700,03-Oct-19
30,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1500,4000,3100,28-Sep-19
31,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1500,3500,3100,26-Sep-19
