Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2800,1600,31-Dec-19
2,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1500,30-Dec-19
3,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1500,27-Dec-19
4,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1600,26-Dec-19
5,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1500,24-Dec-19
6,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1400,23-Dec-19
7,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,2800,1400,21-Dec-19
8,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1400,20-Dec-19
9,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1300,3200,1600,19-Dec-19
10,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1300,3000,1500,18-Dec-19
11,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1400,17-Dec-19
12,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1400,3200,1600,16-Dec-19
13,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1400,3200,1600,13-Dec-19
14,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1300,3000,1500,12-Dec-19
15,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1500,11-Dec-19
16,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1400,10-Dec-19
17,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,800,1200,1000,09-Dec-19
18,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2800,1200,07-Dec-19
19,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,800,2800,1200,06-Dec-19
20,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2800,1400,05-Dec-19
21,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1400,04-Dec-19
22,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1300,03-Dec-19
23,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3200,1800,02-Dec-19
24,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1400,30-Nov-19
25,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1300,29-Nov-19
26,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1200,28-Nov-19
27,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2800,1400,27-Nov-19
28,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2800,1400,26-Nov-19
29,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1500,25-Nov-19
30,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3000,1500,22-Nov-19
31,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,3200,1600,21-Nov-19
32,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1400,3500,1800,20-Nov-19
33,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1400,3400,1600,19-Nov-19
34,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1600,4000,2000,18-Nov-19
35,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1600,4000,2000,16-Nov-19
36,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1600,3800,2000,14-Nov-19
37,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1500,4000,2000,13-Nov-19
38,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1400,12-Nov-19
39,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3200,1500,11-Nov-19
40,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1500,3500,1800,08-Nov-19
41,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1600,3800,2000,07-Nov-19
42,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1600,3800,2000,06-Nov-19
43,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1600,3600,2000,05-Nov-19
44,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1200,2800,1500,04-Nov-19
45,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,3000,1600,02-Nov-19
46,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,31-Oct-19
47,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,30-Oct-19
48,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,1800,1200,28-Oct-19
49,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,25-Oct-19
50,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,24-Oct-19
51,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2500,1400,23-Oct-19
52,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2400,1400,22-Oct-19
53,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,21-Oct-19
54,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,19-Oct-19
55,Bangalore,"Binny Mill (F&V), Bangalore",Brinjal,Brinjal,FAQ,1000,2000,1200,18-Oct-19
