Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,2000,1800,31-Dec-19
2,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1600,1300,30-Dec-19
3,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1300,27-Dec-19
4,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1500,1400,26-Dec-19
5,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1300,24-Dec-19
6,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1300,23-Dec-19
7,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1800,1500,21-Dec-19
8,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1800,1500,20-Dec-19
9,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1800,1600,19-Dec-19
10,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1800,1600,18-Dec-19
11,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1800,1600,17-Dec-19
12,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1700,1600,16-Dec-19
13,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1300,1200,13-Dec-19
14,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,12-Dec-19
15,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1500,1300,11-Dec-19
16,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1600,2200,1800,10-Dec-19
17,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1600,2000,1800,09-Dec-19
18,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1500,2000,1800,07-Dec-19
19,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1800,1600,06-Dec-19
20,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1600,2000,1800,05-Dec-19
21,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1600,2000,1800,04-Dec-19
22,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1500,2000,1800,03-Dec-19
23,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1600,1500,02-Dec-19
24,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1800,1600,30-Nov-19
25,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1300,1700,1500,29-Nov-19
26,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1600,1400,28-Nov-19
27,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1400,1200,27-Nov-19
28,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1200,1000,26-Nov-19
29,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1500,1300,25-Nov-19
30,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1500,1300,22-Nov-19
31,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1500,1300,21-Nov-19
32,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1500,1300,20-Nov-19
33,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1400,1800,1600,19-Nov-19
34,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1500,2000,1800,18-Nov-19
35,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1500,2000,1800,16-Nov-19
36,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2200,2500,2400,14-Nov-19
37,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2000,2500,2300,13-Nov-19
38,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2000,3000,2500,12-Nov-19
39,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2000,3000,2500,11-Nov-19
40,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2500,3000,2800,08-Nov-19
41,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2500,3000,2800,07-Nov-19
42,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2500,3000,2800,06-Nov-19
43,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2200,2600,2400,05-Nov-19
44,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2200,2600,2400,04-Nov-19
45,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2000,2500,2300,02-Nov-19
46,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1600,2200,1800,31-Oct-19
47,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1600,1400,30-Oct-19
