Year,Month,Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Total
2019,Jan,1,81,64.3,52,61,44,32,100,57.3,18,10,4.8,0,27.1,27,26.9,0
2019,Jan,2,81,64.5,50,57,45.3,37,100,58.4,21,16,7.5,0,27.1,27,27,0
2019,Jan,3,82,64.7,0,59,41.7,0,100,52.3,0,17,6.2,0,27.1,27,27,0
2019,Jan,4,82,65.1,46,57,45.6,28,100,60.5,16,15,6.3,0,27.1,27,27,0
2019,Jan,5,81,65.4,48,59,51,39,100,68.2,26,10,5.4,0,27.1,27,26.9,0
2019,Jan,6,82,66.5,55,63,53.3,43,100,70.4,26,10,5.8,0,27,26.9,26.9,0
2019,Jan,7,82,67,55,63,51.1,39,100,65.9,23,10,4.6,0,27,26.9,26.9,0
2019,Jan,8,81,65.1,0,63,43.6,0,100,53,0,12,4.7,0,27,26.9,26.9,0
2019,Jan,9,84,67,48,57,40.7,23,100,50.1,11,14,4.7,0,27,26.9,26.9,0
2019,Jan,10,84,66.3,50,61,50.3,37,100,66.6,19,10,5.9,0,27,26.9,26.9,0
2019,Jan,11,84,68.7,57,63,50.2,36,100,62.8,18,8,5.3,1,27,26.9,26.9,0
2019,Jan,12,81,65.5,0,64,51.1,0,100,63.9,0,69,7.1,0,27,25.3,0,0
2019,Jan,13,84,67.3,55,61,48.3,34,100,61.5,16,8,4.4,0,27,26.9,26.9,0
2019,Jan,14,82,64.8,0,64,47.5,0,100,60.1,0,10,4.9,0,27,26.4,0,0
2019,Jan,15,82,66.2,48,54,39.4,23,100,48.9,12,12,5.7,0,27,27,26.9,0
2019,Jan,16,82,67.1,48,61,48.2,36,100,60.4,19,14,5.3,0,27,26.9,26.9,0
2019,Jan,17,82,68,54,64,48.5,32,100,60.5,16,13,5.3,0,27,26.9,26.8,0
2019,Jan,18,81,67.9,52,64,51,37,100,63.4,21,12,5.3,0,27,26.9,26.9,0
2019,Jan,19,84,65.4,0,59,43.3,0,100,55.3,0,12,4.9,0,27,26.4,0,0
2019,Jan,20,82,66.3,52,59,46.9,34,100,59.9,17,12,5,0,27,27,26.9,0
2019,Jan,21,82,66.2,50,63,44.3,18,100,60.5,9,12,6.1,0,27,26.9,26.9,0
2019,Jan,22,82,65.6,0,63,45.6,0,100,58.7,0,8,4.2,0,27,26.4,0,0
2019,Jan,23,84,71.6,59,66,55.6,43,100,64.7,23,9,4.9,1,27,26.9,26.9,0
2019,Jan,24,84,72.2,64,70,57.4,45,100,66.9,25,12,5.6,1,27,26.9,26.9,0
2019,Jan,25,82,70.8,0,68,58.3,0,100,67.9,0,13,6.8,0,27,26.4,0,0
2019,Jan,26,84,73.2,64,70,62.2,52,100,73.6,35,10,6.6,2,27,26.9,26.9,0
2019,Jan,27,81,72.6,64,70,63.6,55,100,77.5,42,10,6.2,2,27,26.9,26.9,0
2019,Jan,28,81,70,64,72,65.7,57,100,88.3,47,14,7.4,1,27,27,26.9,0
2019,Jan,29,79,69.1,61,66,61.3,54,100,79.7,42,15,7.1,0,27,27,26.9,0
2019,Jan,30,81,69.7,61,64,55.8,45,100,68.5,28,10,5.9,0,27,27,26.9,0
